Year,Population_K,GDP_RM_M,GNI_RM_M,GDP_pc,GNI_pc,CPI,Labour_Force_K,Inflation_Rate
2001,535.6,-3822,-536,-497,-333,1.14,87.8,-0.11
2002,512,30634,31196,942,987,1.48,185.6,0.39
2003,495.6,35556,38080,1111,1232,0.9,327.1,-0.72
2004,503.4,55279,53414,1835,1780,1.2,109.8,0.33
2005,504,69530,69989,2310,2346,2.53,65.9,1.56
2006,504.4,53206,59855,1608,1875,3.17,230,0.63
2007,508.5,68556,71865,2111,2247,1.84,262.7,-1.58
2008,509.2,104609,95560,3340,3021,5.05,121.5,3.41
2009,513.9,-57092,-48272,-2544,-2214,0.57,237.7,-4.86
2010,507.1,108577,96660,3348,2939,1.6,1002.2,1.04
2011,473.4,90299,94830,2639,2810,3.17,452,1.55
2012,448,59519,45277,1541,1069,1.72,469,-1.51
2013,703.7,47362,49229,801,891,2.21,724.9,0.45
2014,494.8,87829,85180,2316,2249,3.37,307.2,1.03
2015,477.6,70498,75010,1709,1872,2.32,215.1,-1.04
2016,447.4,72757,70276,1766,1702,2.36,96,-0.01
2017,389.1,122612,118547,3349,3235,4.46,313.1,1.78
