Year,Attribute,Value
2001,Population ('000),535.6
2001,GDP (Million_RM),-3822
2001,GNI  (RM Million),-536
2001,GDP per capita (RM),-497
2001,GNI per capita (RM),-333
2001,CPI,1.14
2001,Labour_Force ('000),87.8
2001,Inflation_Rate,-0.11
2002,Population ('000),512
2002,GDP (Million_RM),30634
2002,GNI  (RM Million),31196
2002,GDP per capita (RM),942
2002,GNI per capita (RM),987
2002,CPI,1.48
2002,Labour_Force ('000),185.6
2002,Inflation_Rate,0.39
2003,Population ('000),495.6
2003,GDP (Million_RM),35556
2003,GNI  (RM Million),38080
2003,GDP per capita (RM),1111
2003,GNI per capita (RM),1232
2003,CPI,0.9
2003,Labour_Force ('000),327.1
2003,Inflation_Rate,-0.72
2004,Population ('000),503.4
2004,GDP (Million_RM),55279
2004,GNI  (RM Million),53414
2004,GDP per capita (RM),1835
2004,GNI per capita (RM),1780
2004,CPI,1.2
2004,Labour_Force ('000),109.8
2004,Inflation_Rate,0.33
2005,Population ('000),504
2005,GDP (Million_RM),69530
2005,GNI  (RM Million),69989
2005,GDP per capita (RM),2310
2005,GNI per capita (RM),2346
2005,CPI,2.53
2005,Labour_Force ('000),65.9
2005,Inflation_Rate,1.56
2006,Population ('000),504.4
2006,GDP (Million_RM),53206
2006,GNI  (RM Million),59855
2006,GDP per capita (RM),1608
2006,GNI per capita (RM),1875
2006,CPI,3.17
2006,Labour_Force ('000),230
2006,Inflation_Rate,0.63
2007,Population ('000),508.5
2007,GDP (Million_RM),68556
2007,GNI  (RM Million),71865
2007,GDP per capita (RM),2111
2007,GNI per capita (RM),2247
2007,CPI,1.84
2007,Labour_Force ('000),262.7
2007,Inflation_Rate,-1.58
2008,Population ('000),509.2
2008,GDP (Million_RM),104609
2008,GNI  (RM Million),95560
2008,GDP per capita (RM),3340
2008,GNI per capita (RM),3021
2008,CPI,5.05
2008,Labour_Force ('000),121.5
2008,Inflation_Rate,3.41
2009,Population ('000),513.9
2009,GDP (Million_RM),-57092
2009,GNI  (RM Million),-48272
2009,GDP per capita (RM),-2544
2009,GNI per capita (RM),-2214
2009,CPI,0.57
2009,Labour_Force ('000),237.7
2009,Inflation_Rate,-4.86
2010,Population ('000),507.1
2010,GDP (Million_RM),108577
2010,GNI  (RM Million),96660
2010,GDP per capita (RM),3348
2010,GNI per capita (RM),2939
2010,CPI,1.6
2010,Labour_Force ('000),1002.2
2010,Inflation_Rate,1.04
2011,Population ('000),473.4
2011,GDP (Million_RM),90299
2011,GNI  (RM Million),94830
2011,GDP per capita (RM),2639
2011,GNI per capita (RM),2810
2011,CPI,3.17
2011,Labour_Force ('000),452
2011,Inflation_Rate,1.55
2012,Population ('000),448
2012,GDP (Million_RM),59519
2012,GNI  (RM Million),45277
2012,GDP per capita (RM),1541
2012,GNI per capita (RM),1069
2012,CPI,1.72
2012,Labour_Force ('000),469
2012,Inflation_Rate,-1.51
2013,Population ('000),703.7
2013,GDP (Million_RM),47362
2013,GNI  (RM Million),49229
2013,GDP per capita (RM),801
2013,GNI per capita (RM),891
2013,CPI,2.21
2013,Labour_Force ('000),724.9
2013,Inflation_Rate,0.45
2014,Population ('000),494.8
2014,GDP (Million_RM),87829
2014,GNI  (RM Million),85180
2014,GDP per capita (RM),2316
2014,GNI per capita (RM),2249
2014,CPI,3.37
2014,Labour_Force ('000),307.2
2014,Inflation_Rate,1.03
2015,Population ('000),477.6
2015,GDP (Million_RM),70498
2015,GNI  (RM Million),75010
2015,GDP per capita (RM),1709
2015,GNI per capita (RM),1872
2015,CPI,2.32
2015,Labour_Force ('000),215.1
2015,Inflation_Rate,-1.04
2016,Population ('000),447.4
2016,GDP (Million_RM),72757
2016,GNI  (RM Million),70276
2016,GDP per capita (RM),1766
2016,GNI per capita (RM),1702
2016,CPI,2.36
2016,Labour_Force ('000),96
2016,Inflation_Rate,-0.01
2017,Population ('000),389.1
2017,GDP (Million_RM),122612
2017,GNI  (RM Million),118547
2017,GDP per capita (RM),3349
2017,GNI per capita (RM),3235
2017,CPI,4.46
2017,Labour_Force ('000),313.1
2017,Inflation_Rate,1.78
