Year,Sex,Age Group,Population Category/Ethnic,Population ('000)
2000,Total,00-04,Chinese,546.7
2000,Total,05-09,Chinese,513.6
2000,Total,10-14,Chinese,519.7
2000,Total,15-19,Chinese,503
2000,Total,20-24,Chinese,470.2
2000,Total,25-29,Chinese,456.2
2000,Total,30-34,Chinese,463.1
2000,Total,35-39,Chinese,448.4
2000,Total,40-44,Chinese,428.4
2000,Total,45-49,Chinese,380.8
2000,Total,50-54,Chinese,296.1
2000,Total,55-59,Chinese,234.5
2000,Total,60-64,Chinese,182.9
2000,Total,65-69,Chinese,133.4
2000,Total,70-74,Chinese,87.6
2000,Total,75-79,Chinese,46.9
2000,Total,80+,Chinese,50.2
2000,Total,Total,Chinese,5761.7
2000,Male,00-04,Chinese,283.1
2000,Male,05-09,Chinese,268.3
2000,Male,10-14,Chinese,268.5
2000,Male,15-19,Chinese,258.5
2000,Male,20-24,Chinese,240
2000,Male,25-29,Chinese,231.9
2000,Male,30-34,Chinese,234.4
2000,Male,35-39,Chinese,227.7
2000,Male,40-44,Chinese,220.6
2000,Male,45-49,Chinese,197.9
2000,Male,50-54,Chinese,156.3
2000,Male,55-59,Chinese,123.9
2000,Male,60-64,Chinese,93.3
2000,Male,65-69,Chinese,65.9
2000,Male,70-74,Chinese,40.7
2000,Male,75-79,Chinese,20.2
2000,Male,80+,Chinese,19.3
2000,Male,Total,Chinese,2950.6
2000,Female,00-04,Chinese,263.6
2000,Female,05-09,Chinese,245.3
2000,Female,10-14,Chinese,251.3
2000,Female,15-19,Chinese,244.5
2000,Female,20-24,Chinese,230.2
2000,Female,25-29,Chinese,224.4
2000,Female,30-34,Chinese,228.7
2000,Female,35-39,Chinese,220.7
2000,Female,40-44,Chinese,207.8
2000,Female,45-49,Chinese,182.9
2000,Female,50-54,Chinese,139.8
2000,Female,55-59,Chinese,110.6
2000,Female,60-64,Chinese,89.6
2000,Female,65-69,Chinese,67.5
2000,Female,70-74,Chinese,46.9
2000,Female,75-79,Chinese,26.7
2000,Female,80+,Chinese,31
2000,Female,Total,Chinese,2811.2
2001,Total,00-04,Chinese,548.4
2001,Total,05-09,Chinese,518.3
2001,Total,10-14,Chinese,521.2
2001,Total,15-19,Chinese,511.1
2001,Total,20-24,Chinese,477.6
2001,Total,25-29,Chinese,458.2
2001,Total,30-34,Chinese,463.1
2001,Total,35-39,Chinese,451.6
2001,Total,40-44,Chinese,431.7
2001,Total,45-49,Chinese,389.3
2001,Total,50-54,Chinese,310.9
2001,Total,55-59,Chinese,242.2
2001,Total,60-64,Chinese,190.2
2001,Total,65-69,Chinese,138.8
2001,Total,70-74,Chinese,92.8
2001,Total,75-79,Chinese,50.5
2001,Total,80+,Chinese,53.4
2001,Total,Total,Chinese,5849.2
2001,Male,00-04,Chinese,283.3
2001,Male,05-09,Chinese,270.6
2001,Male,10-14,Chinese,269.2
2001,Male,15-19,Chinese,262.5
2001,Male,20-24,Chinese,244.5
2001,Male,25-29,Chinese,233.7
2001,Male,30-34,Chinese,234.6
2001,Male,35-39,Chinese,229.9
2001,Male,40-44,Chinese,222.5
2001,Male,45-49,Chinese,202.2
2001,Male,50-54,Chinese,163.6
2001,Male,55-59,Chinese,128.3
2001,Male,60-64,Chinese,98
2001,Male,65-69,Chinese,69
2001,Male,70-74,Chinese,43.5
2001,Male,75-79,Chinese,21.9
2001,Male,80+,Chinese,20.6
2001,Male,Total,Chinese,2997.8
2001,Female,00-04,Chinese,265.1
2001,Female,05-09,Chinese,247.8
2001,Female,10-14,Chinese,252
2001,Female,15-19,Chinese,248.6
2001,Female,20-24,Chinese,233
2001,Female,25-29,Chinese,224.5
2001,Female,30-34,Chinese,228.6
2001,Female,35-39,Chinese,221.7
2001,Female,40-44,Chinese,209.2
2001,Female,45-49,Chinese,187.1
2001,Female,50-54,Chinese,147.3
2001,Female,55-59,Chinese,113.9
2001,Female,60-64,Chinese,92.2
2001,Female,65-69,Chinese,69.7
2001,Female,70-74,Chinese,49.3
2001,Female,75-79,Chinese,28.6
2001,Female,80+,Chinese,32.8
2001,Female,Total,Chinese,2851.4
2002,Total,00-04,Chinese,536.1
2002,Total,05-09,Chinese,523.5
2002,Total,10-14,Chinese,522.6
2002,Total,15-19,Chinese,517.7
2002,Total,20-24,Chinese,486.7
2002,Total,25-29,Chinese,461.1
2002,Total,30-34,Chinese,462.2
2002,Total,35-39,Chinese,455.4
2002,Total,40-44,Chinese,434.7
2002,Total,45-49,Chinese,396.1
