No,Categories,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Female,13858,14082,14294,14609,14841,15074,15287,15480,15661,15751
2,Male,14731,14980,15215,15605,15868,16112,16347,16543,16722,16831
3,Malaysian citizens,26264,26617,26961,27326,27696,28061,28404,28735,29060,29378
4,Non-Malaysian citizens,2325,2445,2548,2888,3012,3126,3230,3287,3323,3205
5,Bumiputera,17677,17964,18250,18549,18867,19183,19485,19781,20076,20367
6,Chinese,6430,6471,6511,6555,6586,6619,6646,6665,6682,6696
7,Indians,1925,1940,1952,1965,1978,1986,1992,2001,2008,2015
8,Others,232,242,249,257,266,272,281,288,294,300
9,Foreigners,2325,2445,2548,2888,3012,3126,3230,3287,3323,3205
10,Age 00-04,2509,2506,2525,2559,2571,2602,2630,2614,2595,2559
11,Age 05-09,2659,2620,2582,2554,2537,2518,2514,2534,2560,2522
12,Age 10-14,2654,2666,2670,2671,2666,2656,2616,2581,2550,2520
13,Age 15-19,2837,2853,2854,2868,2853,2847,2863,2871,2872,2866
14,Age 20-24,2912,2965,3018,3122,3182,3226,3245,3245,3233,3220
15,Age 25-29,2790,2872,2924,3028,3079,3136,3189,3239,3282,3318
16,Age 30-34,2182,2268,2368,2523,2643,2731,2798,2842,2869,2895
17,Age 35-39,1955,1977,1997,2047,2095,2158,2237,2335,2439,2525
18,Age 40-44,1791,1811,1828,1861,1880,1899,1918,1933,1951,1974
19,Age 45-49,1614,1644,1667,1696,1713,1728,1741,1756,1769,1771
20,Age 50-54,1371,1416,1455,1497,1532,1560,1585,1604,1620,1621
21,Age 55-59,1066,1111,1160,1212,1260,1304,1345,1384,1418,1439
22,Age 60-64,824,863,897,929,962,1000,1041,1085,1131,1167
23,Age 65-69,538,571,613,662,709,749,785,816,843,868
24,Age 70-74,409,421,427,430,440,461,490,528,572,612
25,Age 75-79,233,248,268,290,308,320,331,335,338,346
26,Age 80+,244,253,259,267,278,292,306,323,342,360
